id,created_date,water_pH,TDS,water_temp
216883,2023-01-31 00:30:00,7.27,294,24.69
216884,2023-01-31 00:30:00,6.84,294,24.69
216895,2023-01-31 00:31:00,7.24,296,24.75
216898,2023-01-31 00:31:00,7.28,296,24.75
216899,2023-01-31 00:31:00,6.67,296,24.69
216900,2023-01-31 00:31:00,6.96,296,24.75
216904,2023-01-31 00:31:00,7.26,294,24.75
216906,2023-01-31 00:31:00,7.2,296,24.69
216908,2023-01-31 00:31:00,7.04,294,24.75
216909,2023-01-31 00:31:00,7.05,292,24.75
216911,2023-01-31 00:31:00,6.91,296,24.69
216912,2023-01-31 00:32:00,7.21,296,24.75
216913,2023-01-31 00:32:00,7.07,294,24.75
216916,2023-01-31 00:32:00,7.13,296,24.69
216922,2023-01-31 00:32:00,6.78,296,24.69
216923,2023-01-31 00:32:00,7.02,294,24.69
216929,2023-01-31 00:32:00,7.34,294,24.69
216932,2023-01-31 00:32:00,7.32,296,24.69
216934,2023-01-31 00:33:00,7.2,296,24.69
216936,2023-01-31 00:33:00,6.58,296,24.69
216937,2023-01-31 00:33:00,7.2,296,24.69
216938,2023-01-31 00:33:00,7.26,294,24.69
216939,2023-01-31 00:33:00,7.3,296,24.69
216940,2023-01-31 00:33:00,7.27,296,24.69
216941,2023-01-31 00:33:00,7.13,294,24.69
216942,2023-01-31 00:33:00,6.87,294,24.69
216944,2023-01-31 00:33:00,7.04,294,24.69
216945,2023-01-31 00:33:00,7.0,296,24.69
216946,2023-01-31 00:33:00,7.35,294,24.69
216949,2023-01-31 00:33:00,6.74,298,24.69
216952,2023-01-31 00:33:00,6.96,296,24.69
216953,2023-01-31 00:33:00,6.93,296,24.69
216956,2023-01-31 00:33:00,7.08,294,24.69
216957,2023-01-31 00:34:00,6.98,296,24.69
216958,2023-01-31 00:34:00,6.71,298,24.69
216959,2023-01-31 00:34:00,7.03,294,24.69
216960,2023-01-31 00:34:00,6.77,296,24.69
216962,2023-01-31 00:34:00,7.04,294,24.75
216965,2023-01-31 00:34:00,7.37,294,24.69
216966,2023-01-31 00:34:00,6.73,296,24.69
216968,2023-01-31 00:34:00,6.56,298,24.69
216971,2023-01-31 00:34:00,7.09,296,24.69
216972,2023-01-31 00:34:00,6.9,294,24.69
216973,2023-01-31 00:34:00,7.04,294,24.69
216974,2023-01-31 00:34:00,6.5,298,24.69
216976,2023-01-31 00:34:00,7.26,294,24.69
216978,2023-01-31 00:34:00,7.23,294,24.69
216980,2023-01-31 00:35:00,6.62,298,24.75
216982,2023-01-31 00:35:00,6.93,296,24.69
216983,2023-01-31 00:35:00,6.98,294,24.69
216985,2023-01-31 00:35:00,7.25,294,24.69
216987,2023-01-31 00:35:00,7.33,298,24.69
216988,2023-01-31 00:35:00,7.14,294,24.69
216992,2023-01-31 00:35:00,7.26,294,24.69
216993,2023-01-31 00:35:00,6.69,296,24.69
216994,2023-01-31 00:35:00,6.85,296,24.69
216996,2023-01-31 00:35:00,7.01,296,24.69
216997,2023-01-31 00:35:00,7.12,296,24.69
216998,2023-01-31 00:35:00,7.13,294,24.69
216999,2023-01-31 00:35:00,7.17,298,24.69
217000,2023-01-31 00:35:00,6.59,298,24.69
217001,2023-01-31 00:35:00,7.29,298,24.69
217002,2023-01-31 00:35:00,6.9,296,24.75
217003,2023-01-31 00:36:00,7.17,294,24.69
217007,2023-01-31 00:36:00,6.92,296,24.75
217008,2023-01-31 00:36:00,7.31,296,24.75
217009,2023-01-31 00:36:00,7.1,294,24.69
217013,2023-01-31 00:36:00,6.64,298,24.69
217014,2023-01-31 00:36:00,7.07,296,24.69
217016,2023-01-31 00:36:00,6.84,296,24.69
217024,2023-01-31 00:36:00,7.31,294,24.69
217025,2023-01-31 00:36:00,7.35,298,24.69
217027,2023-01-31 00:37:00,7.26,296,24.69
217029,2023-01-31 00:37:00,7.25,294,24.75
217031,2023-01-31 00:37:00,7.34,296,24.69
217034,2023-01-31 00:37:00,7.18,298,24.69
217035,2023-01-31 00:37:00,6.69,294,24.69
217037,2023-01-31 00:37:00,7.35,296,24.69
217047,2023-01-31 00:38:00,6.72,294,24.69
217048,2023-01-31 00:38:00,7.19,294,24.69
217049,2023-01-31 00:38:00,7.31,296,24.69
217057,2023-01-31 00:38:00,6.71,294,24.69
217058,2023-01-31 00:38:00,6.96,296,24.69
217061,2023-01-31 00:38:00,6.88,294,24.69
217063,2023-01-31 00:38:00,7.31,298,24.69
217064,2023-01-31 00:38:00,7.19,296,24.69
217066,2023-01-31 00:38:00,7.22,296,24.69
217068,2023-01-31 00:38:00,6.62,296,24.69
217072,2023-01-31 00:39:00,7.33,294,24.69
217080,2023-01-31 00:39:00,7.26,298,24.69
217081,2023-01-31 00:39:00,6.77,294,24.69
217083,2023-01-31 00:39:00,7.03,296,24.69
217086,2023-01-31 00:39:00,6.95,294,24.69
217088,2023-01-31 00:39:00,7.28,296,24.69
217094,2023-01-31 00:40:00,7.15,296,24.69
217097,2023-01-31 00:40:00,6.52,294,24.75
217100,2023-01-31 00:40:00,7.34,296,24.69
217110,2023-01-31 00:40:00,6.71,298,24.69
217111,2023-01-31 00:40:00,6.74,298,24.69
217114,2023-01-31 00:41:00,7.22,294,24.69
217118,2023-01-31 00:41:00,6.7,294,24.69
217122,2023-01-31 00:41:00,6.8,294,24.69
217124,2023-01-31 00:41:00,6.87,296,24.69
217126,2023-01-31 00:41:00,6.7,296,24.69
217127,2023-01-31 00:41:00,6.91,296,24.69
217128,2023-01-31 00:41:00,7.13,296,24.69
217130,2023-01-31 00:41:00,6.72,298,24.69
217137,2023-01-31 00:42:00,7.17,296,24.69
217138,2023-01-31 00:42:00,7.26,296,24.69
217140,2023-01-31 00:42:00,6.64,296,24.69
217148,2023-01-31 00:42:00,7.25,294,24.69
217149,2023-01-31 00:42:00,6.9,294,24.69
217150,2023-01-31 00:42:00,7.25,294,24.69
217151,2023-01-31 00:42:00,6.95,296,24.69
217152,2023-01-31 00:42:00,7.03,296,24.69
217155,2023-01-31 00:42:00,7.32,294,24.69
217157,2023-01-31 00:42:00,7.35,294,24.69
217161,2023-01-31 00:43:00,7.09,296,24.69
217165,2023-01-31 00:43:00,6.59,296,24.69
217166,2023-01-31 00:43:00,7.33,296,24.69
217167,2023-01-31 00:43:00,7.28,294,24.69
217168,2023-01-31 00:43:00,7.35,294,24.69
